"","ID","SMILES"
"806","Prestw-127","c1(COC(c2c(cc(cc2)Cl)Cl)Cn2cncc2)c(Cl)cccc1Cl"
"808","Prestw-128","[C@]12(\C(=C/C(=O)CC1)\C[C@H]([C@@]1([C@@]2(CC[C@]2([C@]1(CC[C@]21OC(=O)CC1)[H])C)[H])[H])SC(=O)C)C"
"818","Prestw-129","N1(c2c(C(Nc3c1nccc3)=O)cccc2)C(CN1CCN(CC1)C)=O"
"820","Prestw-130","[C@]12([C@]([C@]3([C@@]([C@@]\4(\C(=C/C(\C=C4)=O)\CC3)C)([C@H](C1)O)F)[H])(C[C@H]([C@@]2(C(COC(=O)C)=O)O)C)[H])C"
"828","Prestw-131","S(NC(NC1CCCCC1)=O)(c1ccc(cc1)CCNC(c1ncc(nc1)C)=O)(=O)=O"
"834","Prestw-132","C\1(=N\c2c(Oc3c1cc(cc3)Cl)cccc2)/N1CCN(CC1)C"
"846","Prestw-133","N1(C(c2ccc(cc2)Cl)c2ccccc2)CCN(CC1)CCOCCO"
"851","Prestw-134","[C@@H]1(C(N(c2c(S[C@H]1c1ccc(cc1)OC)cccc2)CCN(C)C)=O)OC(=O)C"
"861","Prestw-135","n1c(c2c(nc1N)ncc(n2)CN(c1ccc(C(N[C@H](C(=O)O)CCC(=O)O)=O)cc1)C)N"
"873","Prestw-136","c1(n(c2c(n1)cccc2)Cc1ccc(F)cc1)NC1CCN(CC1)CCc1ccc(cc1)OC"
"882","Prestw-137","C1(O[C@@H]([C@@H]([C@H]([C@H]1O)O)O)SC)[C@H](NC([C@H]1N(C[C@@H](C1)CCC)C)=O)[C@@H](Cl)C"
"888","Prestw-138","C(C1CCN(CC1)CCCC(c1ccc(C(C)(C)C)cc1)O)(c1ccccc1)(c1ccccc1)O"
"893","Prestw-139","N1\2C([C@H]([C@]1(SC\C(=C2\C([O-])=O)\COC(=O)C)[H])NC(\C(\c1nc(sc1)N)=N/OC)=O)=O"
"901","Prestw-140","[C@@]12(\C(=C/3\C(c4c([C@]([C@]3(C[C@]1([C@@H](\C(=C(/C2=O)\C(=O)N)\O)N(C)C)[H])[H])(O)C)cccc4O)=O)\O)O"
"905","Prestw-141","C(c1cc(c(cc1)OC)OC)(C#N)(C(C)C)CCCN(CCc1cc(c(cc1)OC)OC)C"
"922","Prestw-142","c12c(c(nc(n1)N(CCO)CCO)N1CCCCC1)nc(nc2N1CCCCC1)N(CCO)CCO"
"930","Prestw-143","C(NC(=N)NCCCCCCNC(NC(Nc1ccc(Cl)cc1)=N)=N)(Nc1ccc(Cl)cc1)=N"
"932","Prestw-144","C(C(CCN1CCC(CC1)(c1ccc(cc1)Cl)O)(c1ccccc1)c1ccccc1)(N(C)C)=O"
"934","Prestw-145","[C@@]12(\C(=C/3\C(c4c([C@]([C@]3(C[C@]1([C@@H](\C(=C(/C2=O)\C(=O)N)\O)N(C)C)[H])[H])(O)C)c(ccc4O)Cl)=O)\O)O"
"936","Prestw-146","C(=C(\c1ccccc1)/CC)(\c1ccc(cc1)OCCN(C)C)/c1ccccc1"
"947","Prestw-147","[C@]12(c3c4c(cn(c4ccc3)C)C[C@]1(N(C[C@@H](C2)COC(c1cc(Br)cnc1)=O)C)[H])OC"
"950","Prestw-148","[C@@]12(\C(\C=C/[C@@]3([C@@]1(CC[C@]1([C@]3(CC[C@]1(CCC([O-])=O)O)[H])C)[H])[H])=C/C(=O)CC2)C"
"957","Prestw-149","S(c1cc2N(c3c(Sc2cc1)cccc3)CCCN1CCN(CC1)C)(N(C)C)(=O)=O"
"969","Prestw-150","[C@@]12(N(C([C@@](O1)(NC([C@@H]1CC3([C@](N(C1)C)(Cc1c4c3cccc4[nH]c1)[H])[H])=O)C)=O)[C@H](C(N1[C@]2(CCC1)[H])=O)Cc1ccccc1)O.[C@@]12(N(C([C@@](O1)(NC([C@@H]1C[C@]3([C@](N(C1)C)(Cc1c4c3cccc4[nH]c1)[H])[H])=O)C)=O)[C@H](C(N1[C@]2(CCC1)[H])=O)Cc1ccccc1)O"
"974","Prestw-151","[C@@H]1([C@@H]([C@H](C[C@H](O1)C)N(C)C)O)O[C@@H]1[C@H]([C@@H]([C@H](C(O[C@@H]([C@]([C@@H]([C@H](C([C@@H](C[C@]1(O)C)C)=O)C)O)(O)C)CC)=O)C)O[C@H]1C[C@]([C@H]([C@@H](O1)C)O)(OC)C)C"
"978","Prestw-1474","c12c(c(cc(c1cccn2)Cl)Cl)O"
"981","Prestw-153","n1(c\2c(nc1)C(N\C=N2)=O)[C@@H]1O[C@@H](CC1)CO"
"988","Prestw-154","[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)C)O[C@H]1C[C@]([C@H]([C@@H](O1)C)O)(OC(=O)CC(C)C)C)N(C)C)O)O[C@@H]1[C@H]([C@@H](CC(O[C@@H](C/C=C/C=C/[C@@H]([C@@H](C[C@@H]1CC=O)C)O)C)=O)OC(=O)C)OC"
"994","Prestw-155","[C@@]12([C@@]([C@]3([C@@](C[C@@H]1O)(OC3)[H])OC(=O)C)([C@@H]([C@]1(C(\C(\[C@H](C2=O)OC(=O)C)=C(/[C@H](C1)OC([C@@H]([C@@H](NC(=O)c1ccccc1)c1ccccc1)O)=O)\C)(C)C)O)OC(=O)c1ccccc1)[H])C"
"1003","Prestw-156","[C@@H]1/2[C@]\3([C@](OC/C3=C\C=C\[C@@H]([C@@H](\C(=C\C[C@H]3O[C@]4(O[C@@]([C@H](CC4)C)([C@H](CC)C)[H])C[C@@H](OC1=O)C3)\C)O[C@@H]1O[C@H]([C@@H]([C@H](C1)OC)O[C@@H]1O[C@H]([C@@H]([C@H](C1)OC)O)C)C)C)([C@@H](/C(=C2)/C)O)[H])O"
"1013","Prestw-157","c1(c(OCC[N+](CC)(CC)CC)cccc1OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC"
"1015","Prestw-158","[C@@H]1([C@H](O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)[C@H](C[C@H]([C@@H]1O)N)N)O[C@H]1[C@@H]([C@H](O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)[C@H](O1)CO)O"
"1024","Prestw-159","N(C1C(OC(C(C1O)O)CO)OC2C(OC(C2(O)CO)C)OC3C(C(C(C(C3O)O)NC(=N)N)O)NC(=N)N)C"
"1026","Prestw-160","N(C1C(COC(C1O)OC2C(CC(C(C2O)OC3OC(CCC3N)C(NC)C)N)N)(O)C)C"
"1035","Prestw-161","C(=O)(c1ccncc1)NN"
"1045","Prestw-162","n1nn2c(n1)CCCCC2"
"1047","Prestw-163","C1(Nc2c(O1)ccc(c2)Cl)=O"
"1054","Prestw-164","c1(n(c(nc1)C)CC(O)CCl)[N+]([O-])=O"
"1061","Prestw-165","N1C(C(CC1=O)(CC)C)=O"
"1071","Prestw-166","S(c1ccc(cc1)CN)(=O)(=O)N"
"1077","Prestw-167","c1(nc2c(s1)cc(OC(F)(F)F)cc2)N"
"1085","Prestw-168","C1(NC(CN1/N=C/c1oc([N+]([O-])=O)cc1)=O)=O"
"1091","Prestw-169","C/1(\N=N/C=C/2\C1\C=C/C=C2)=N\N"
"1093","Prestw-170","N(N)CCc1ccccc1"
"1105","Prestw-171","C([C@H]1CC[C@@H](CC1)CN)(=O)O"
"1111","Prestw-172","c12c(C(N(C(N1C)=O)C)=O)n(cn2)CCO"
"1117","Prestw-173","[C@@H]1(C[C@@H]1N)c1ccccc1"
"1132","Prestw-174","N(CCCc1ccccc1)(CCCc1ccccc1)CC"
"1134","Prestw-175","N(c1c(Cl)cccc1Cl)c1c(CC(=O)OCC(=O)O)cccc1"
"1139","Prestw-176","C(NNC(C)C)(=O)c1ccncc1"
"1152","Prestw-177","S(Nc1noc(c1)C)(c1ccc(N)cc1)(=O)=O"
"1159","Prestw-178","O(c1c(C)cccc1)CC(O)CO"
"1162","Prestw-179","N(C(=N)NCCc1ccccc1)C(=N)N"
"1168","Prestw-180","c1(C(F)(F)F)c([N+]([O-])=O)ccc(NC(=O)C(C)C)c1"
"1172","Prestw-181","C1(\C(=C(/N(N1c1ccccc1)C)\C)\N)=O"
"1177","Prestw-182","C/1\2=N/[C@H](CN1CCS2)c1ccccc1"
"1183","Prestw-183","C(#C)CN(Cc1ccccc1)C"
"1191","Prestw-184","C(=O)(OCC(COc1c(OC)cccc1)O)N"
"1198","Prestw-185","N1(C([C@H]([C@@H]1C)NC(/C(/c1nc(sc1)N)=N\OC(C(=O)O)(C)C)=O)=O)S(=O)(=O)O"
